Date,Open,High,Low,Close*,Adj Close**,Volume
"Sep 19, 2021","1,751.80","1,784.30","1,738.20","1,749.70","1,749.70",415
"Sep 12, 2021","1,789.80","1,806.20","1,743.90","1,749.40","1,749.40","3,582"
"Sep 05, 2021","1,825.70","1,825.70","1,781.70","1,789.60","1,789.60",166
"Aug 29, 2021","1,818.20","1,833.90","1,801.10","1,830.90","1,830.90",959
"Aug 22, 2021","1,776.80","1,816.60","1,776.80","1,816.60","1,816.60","2,146"
"Aug 15, 2021","1,776.90","1,794.20","1,771.90","1,781.00","1,781.00","1,162"
"Aug 08, 2021","1,753.50","1,777.30","1,692.60","1,775.20","1,775.20","4,701"
"Aug 01, 2021","1,812.40","1,831.30","1,758.40","1,760.00","1,760.00","8,982"
"Jul 25, 2021","1,802.50","1,832.60","1,797.20","1,812.60","1,812.60","243,397"
"Jul 18, 2021","1,803.30","1,824.00","1,793.60","1,801.40","1,801.40",299
"Jul 11, 2021","1,802.60","1,833.00","1,799.50","1,814.50","1,814.50","1,109"
"Jul 04, 2021","1,786.70","1,818.50","1,786.70","1,810.00","1,810.00",942
"Jun 27, 2021","1,779.60","1,787.90","1,752.10","1,782.60","1,782.60","1,425"
"Jun 20, 2021","1,768.80","1,793.20","1,766.80","1,776.60","1,776.60",388
"Jun 13, 2021","1,866.20","1,867.20","1,767.90","1,767.90","1,767.90","1,725"
"Jun 06, 2021","1,890.50","1,902.90","1,871.50","1,877.40","1,877.40","1,700"
"May 30, 2021","1,905.10","1,916.20","1,854.00","1,889.80","1,889.80","3,295"
"May 23, 2021","1,882.10","1,905.40","1,881.90","1,902.50","1,902.50","208,830"
"May 16, 2021","1,849.90","1,885.00","1,847.20","1,876.70","1,876.70",454
"May 09, 2021","1,835.60","1,845.60","1,814.10","1,837.90","1,837.90",577
"May 02, 2021","1,788.50","1,842.90","1,774.80","1,831.10","1,831.10",272
"Apr 25, 2021","1,778.00","1,789.00","1,758.60","1,767.30","1,767.30","1,636"
"Apr 18, 2021","1,782.10","1,794.50","1,765.50","1,777.00","1,777.00","2,349"
"Apr 11, 2021","1,740.80","1,779.50","1,722.10","1,779.00","1,779.00","2,437"
"Apr 04, 2021","1,727.90","1,758.00","1,721.90","1,743.30","1,743.30","3,504"
"Mar 28, 2021","1,712.10","1,728.80","1,676.50","1,726.50","1,726.50","162,975"
"Mar 21, 2021","1,737.80","1,737.80","1,721.30","1,732.20","1,732.20",131
"Mar 14, 2021","1,729.50","1,750.30","1,721.80","1,741.40","1,741.40","1,515"
"Mar 08, 2021","1,704.70","1,737.50","1,673.70","1,719.50","1,719.50","2,135"
"Mar 01, 2021","1,737.10","1,747.00","1,685.00","1,698.00","1,698.00","2,598"
"Feb 22, 2021","1,784.00","1,811.30","1,718.80","1,728.10","1,728.10","4,876"
"Feb 15, 2021","1,820.90","1,823.40","1,764.30","1,775.80","1,775.80","2,460"
"Feb 08, 2021","1,816.30","1,851.10","1,809.00","1,821.60","1,821.60","1,842"
"Feb 01, 2021","1,866.60","1,871.90","1,782.80","1,810.90","1,810.90","7,635"
"Jan 25, 2021","1,864.70","1,876.00","1,831.50","1,847.30","1,847.30","224,542"
"Jan 18, 2021","1,802.00","1,868.00","1,802.00","1,855.70","1,855.70",43
"Jan 11, 2021","1,826.50","1,859.70","1,825.00","1,829.30","1,829.30",565
"Jan 04, 2021","1,912.20","1,959.90","1,834.10","1,834.10","1,834.10",780
"Dec 28, 2020","1,895.50","1,901.30","1,873.70","1,893.10","1,893.10",989
"Dec 21, 2020","1,884.80","1,908.00","1,861.00","1,879.90","1,879.90",497
"Dec 14, 2020","1,835.50","1,896.20","1,822.70","1,885.70","1,885.70","2,999"
"Dec 07, 2020","1,836.50","1,875.80","1,820.80","1,839.80","1,839.80","2,049"
"Nov 30, 2020","1,785.00","1,847.60","1,762.30","1,835.90","1,835.90","8,753"
"Nov 23, 2020","1,834.80","1,837.80","1,770.70","1,781.90","1,781.90","279,442"
"Nov 16, 2020","1,874.60","1,888.40","1,856.00","1,872.60","1,872.60","2,176"
"Nov 09, 2020","1,955.60","1,963.20","1,847.10","1,885.70","1,885.70","1,703"
"Nov 02, 2020","1,872.90","1,958.80","1,872.90","1,950.30","1,950.30","2,123"
"Oct 25, 2020","1,895.50","1,908.80","1,858.80","1,877.40","1,877.40","1,660"
"Oct 18, 2020","1,907.30","1,927.30","1,896.10","1,902.00","1,902.00","2,760"
"Oct 11, 2020","1,924.00","1,926.50","1,882.50","1,900.80","1,900.80",627
"Oct 04, 2020","1,898.90","1,929.10","1,873.10","1,919.50","1,919.50","3,306"
"Sep 27, 2020","1,872.80","1,913.00","1,872.40","1,900.20","1,900.20","15,598"
"Sep 20, 2020","1,946.20","1,946.20","1,851.50","1,857.70","1,857.70",757
"Sep 13, 2020","1,946.30","1,968.50","1,933.70","1,952.10","1,952.10",358
"Sep 06, 2020","1,930.90","1,962.70","1,903.10","1,937.80","1,937.80","1,285"
"Aug 30, 2020","1,970.00","1,986.30","1,917.70","1,923.90","1,923.90","1,201"
"Aug 23, 2020","1,930.20","1,972.50","1,909.70","1,964.60","1,964.60","3,629"
"Aug 16, 2020","1,949.60","2,002.80","1,908.90","1,934.60","1,934.60",826
"Aug 09, 2020","2,026.40","2,043.80","1,871.60","1,937.00","1,937.00","1,880"
"Aug 02, 2020","1,984.30","2,063.00","1,955.50","2,010.10","2,010.10","5,217"
"Jul 26, 2020","1,901.70","1,981.10","1,901.50","1,962.80","1,962.80","242,791"
"Jul 19, 2020","1,807.00","1,897.30","1,807.00","1,897.30","1,897.30","1,026"
"Jul 12, 2020","1,805.00","1,813.50","1,791.00","1,808.30","1,808.30",840
"Jul 05, 2020","1,788.20","1,819.80","1,783.30","1,798.20","1,798.20","1,764"
"Jun 28, 2020","1,779.80","1,798.00","1,765.80","1,784.00","1,784.00","2,116"
"Jun 21, 2020","1,755.20","1,783.10","1,750.50","1,772.50","1,772.50","3,830"
"Jun 14, 2020","1,730.00","1,750.70","1,703.30","1,745.90","1,745.90","1,700"
"Jun 07, 2020","1,679.10","1,744.10","1,675.90","1,729.30","1,729.30","2,660"
"May 31, 2020","1,740.40","1,747.00","1,668.60","1,676.20","1,676.20","6,676"
"May 24, 2020","1,726.40","1,738.30","1,685.60","1,736.90","1,736.90","162,336"
"May 17, 2020","1,755.70","1,770.50","1,720.50","1,734.60","1,734.60",946
"May 10, 2020","1,702.30","1,753.40","1,690.20","1,753.40","1,753.40","2,895"
"May 03, 2020","1,702.60","1,728.90","1,684.20","1,709.90","1,709.90","2,054"
"Apr 26, 2020","1,731.90","1,731.90","1,670.50","1,694.50","1,694.50","2,461"
"Apr 19, 2020","1,686.00","1,745.10","1,659.90","1,723.50","1,723.50","1,928"
"Apr 12, 2020","1,722.00","1,775.00","1,684.90","1,689.20","1,689.20","2,398"
"Apr 05, 2020","1,629.10","1,736.20","1,625.90","1,736.20","1,736.20","3,779"
"Mar 29, 2020","1,641.20","1,652.80","1,570.00","1,633.70","1,633.70","23,358"
"Mar 22, 2020","1,505.30","1,685.50","1,490.20","1,623.90","1,623.90","101,610"
"Mar 15, 2020","1,569.10","1,569.10","1,452.10","1,484.00","1,484.00",924
